from_id;to_id;walk_t;walk_d;pt_r_tt;pt_r_t;pt_r_d;pt_m_tt;pt_m_t;pt_m_d;car_r_t;car_r_d;car_m_t;car_m_d
5887377;5976964;496;34719;102;82;34120;96;81;33956;49;38759;42;38759
5887378;5976964;492;34464;101;78;33865;95;77;33701;47;38372;41;38372
5887379;5976964;492;34469;101;77;33738;95;76;33575;48;38503;42;38503
5887380;5976964;494;34580;104;84;34426;100;85;34256;49;38626;43;38626
5887381;5976964;498;34849;108;90;34690;96;89;34526;52;38990;46;38990
5887382;5976964;501;35081;109;91;34927;100;92;34758;52;38579;46;38579
5887383;5976964;497;34790;118;108;36157;-1;-1;-1;51;38570;45;38570
5887384;5976964;498;34863;121;110;36230;-1;-1;-1;53;38893;47;38893
5887385;5976964;500;34975;123;111;36342;-1;-1;-1;53;38915;47;38915
5887386;5976964;507;35521;130;119;36888;-1;-1;-1;56;41561;49;41561
5887387;5976964;507;35484;120;100;36410;106;102;41414;54;41438;47;41438
5887388;5976964;504;35299;114;98;36112;108;97;41116;54;41285;47;41285
5887389;5976964;509;35636;123;98;36255;106;100;41258;56;41696;48;41696
5887390;5976964;513;35885;123;101;36503;106;103;41507;58;42693;50;42693
5889073;5976964;300;20968;84;71;24466;82;69;22803;39;24157;34;24157
5889074;5976964;298;20866;81;68;24258;79;66;22595;40;24078;35;24078
5889075;5976964;296;20719;81;66;24112;77;64;22448;40;23878;36;23878
5889076;5976964;291;20401;78;61;23794;76;59;22131;39;23573;35;23573
5889077;5976964;287;20066;78;61;23788;76;59;22124;38;23251;34;23251
5889078;5976964;281;19655;78;61;23164;76;59;21501;36;22849;31;22849
5889079;5976964;279;19506;78;59;23016;74;57;21352;36;22689;31;22689
5889080;5976964;278;19431;79;63;23303;77;61;21640;36;22960;32;22960
5889081;5976964;274;19203;81;67;23563;77;65;21900;36;22780;32;22780
5889082;5976964;269;18850;83;70;22443;82;68;20780;34;22369;30;22369
5889083;5976964;268;18787;84;69;22380;82;67;20716;36;22490;32;22490
5889084;5976964;272;19072;87;73;22665;89;71;21001;36;22616;32;22616
5889085;5976964;258;18083;97;85;21920;101;83;20257;37;23579;33;23579
5889086;5976964;255;17818;94;81;21655;95;79;19992;36;23338;32;23338
5889087;5976964;256;17932;95;83;21770;98;81;20106;39;23207;35;23207
5889088;5976964;254;17793;94;81;21630;95;79;19967;43;24394;39;24394
5889089;5976964;272;19045;107;99;22882;103;97;21219;44;24557;40;24557
5889090;5976964;-1;-1;-1;-1;-1;-1;-1;-1;45;24532;41;24532
5889091;5976964;272;19026;93;69;20725;91;66;20725;42;24371;38;24371
5889092;5976964;256;17937;89;66;19665;88;63;19665;38;23253;34;23253
5889093;5976964;251;17572;84;61;19300;90;58;19300;39;23121;35;23121
5889094;5976964;253;17709;84;62;19429;88;59;19429;42;23127;38;23127
5889095;5976964;255;17824;89;64;19544;88;61;19544;44;22893;40;22893
5889096;5976964;-1;-1;-1;-1;-1;-1;-1;-1;43;22953;39;22953
5889097;5976964;251;17601;102;84;19486;101;87;20752;42;23076;38;23076
5889098;5976964;251;17552;102;79;19175;100;86;20703;42;23696;38;23696
5889099;5976964;252;17622;94;73;18747;99;81;18950;43;23804;39;23804
5889100;5976964;248;17356;89;68;18400;96;76;18603;44;22171;39;22171
5889101;5976964;244;17066;89;64;18109;93;72;18312;43;21948;38;21948
5889102;5976964;243;17035;89;63;18079;93;71;18282;42;21611;38;21611
5889103;5976964;245;17141;89;65;18185;93;73;18388;42;21375;37;21375
5889104;5976964;236;16494;82;64;17443;77;57;17443;39;21498;34;21498
5889105;5976964;238;16670;78;62;17825;74;55;17825;39;21476;35;21476
5889106;5976964;235;16480;78;60;17741;74;53;17741;38;21150;33;21150
5889107;5976964;235;16415;75;55;17360;71;48;17360;39;21001;35;21001
5889108;5976964;241;16856;78;58;17578;74;51;17578;39;23186;35;23186
5889109;5976964;245;17135;78;57;18014;74;50;18014;37;22764;32;22764
5889110;5976964;247;17268;78;60;18234;74;53;18234;39;22832;35;22832
5889111;5976964;244;17095;78;63;18391;74;56;18391;36;22314;32;22314
5889112;5976964;237;16563;87;59;18804;74;51;18767;36;22117;32;22117
5889113;5976964;232;16246;87;59;18814;74;51;18778;35;21701;31;21701
5889114;5976964;230;16118;89;63;19113;74;54;19552;34;21380;30;21380
5889115;5976964;231;16156;88;71;19667;73;54;19590;35;21569;31;21569
5889116;5976964;234;16376;94;74;19886;77;58;19809;35;21759;31;21759
5889117;5976964;236;16539;98;76;20050;84;60;19973;39;22143;35;22143
5889118;5976964;247;17278;89;75;20205;91;76;24593;37;22246;33;22246
5889119;5976964;227;15902;79;64;19397;76;58;23141;34;21326;30;21326
5889120;5976964;229;16002;79;61;19169;72;55;22913;35;21541;31;21541
5889121;5976964;235;16474;79;61;18742;79;60;23255;35;21868;31;21868
5889122;5976964;238;16677;79;61;18744;81;63;19441;35;22460;31;22460
5889123;5976964;232;16241;80;68;18294;85;70;18990;39;23305;35;23305
5889124;5976964;231;16184;79;67;18236;85;70;18933;43;23669;38;23669
5889125;5976964;236;16495;82;71;18547;88;74;19244;40;24423;36;24423
5889126;5976964;248;17348;86;73;22403;84;68;20942;36;23466;32;23466
5889127;5976964;236;16511;79;68;20246;79;60;20008;36;22992;32;22992
5889128;5976964;238;16687;79;68;20292;79;61;20054;35;22782;31;22782
5889129;5976964;241;16853;83;64;20834;80;62;20631;33;22560;29;22560
5889130;5976964;240;16827;81;61;20618;77;59;20415;33;22346;29;22346
5889131;5976964;243;17042;84;64;20852;80;62;20649;36;22668;32;22668
5889132;5976964;247;17287;87;68;21097;87;66;20894;36;23210;32;23210
5889133;5976964;223;15631;84;64;20761;86;76;21637;32;22599;28;22599
5889134;5976964;219;15354;79;60;20490;85;72;21366;33;22450;29;22450
5889135;5976964;221;15494;79;60;20514;85;73;21390;35;22716;31;22716
5889136;5976964;220;15383;85;65;21571;86;77;22447;35;22973;31;22973
5889137;5976964;219;15323;83;64;21511;87;77;22387;33;22924;29;22924
5889138;5976964;223;15618;87;68;21806;89;81;22682;35;23359;30;23359
5889139;5976964;216;15131;80;71;22606;84;72;26237;33;23475;28;23475
5889140;5976964;219;15305;80;70;22567;84;72;26221;36;24156;31;21491
5889141;5976964;217;15157;82;68;22420;85;76;25678;35;23993;30;21242
5889142;5976964;221;15486;77;68;23250;85;71;20520;34;21225;29;21196
5889143;5976964;221;15498;76;65;23022;85;75;27930;34;24588;29;21837
5889144;5976964;225;15756;84;68;23280;85;80;28800;41;21861;35;21832
5889145;5976964;223;15632;84;73;23608;82;75;23585;44;25507;39;22757
5889146;5976964;226;15828;79;72;26694;80;71;27626;45;27681;39;25384
5889147;5976964;228;15964;75;66;26369;74;68;27389;38;27097;33;24800
5889148;5976964;230;16093;72;63;25812;74;65;25813;38;24336;33;24336
5889149;5976964;232;16222;69;60;25590;71;61;25460;36;23935;30;23935
5889150;5976964;234;16395;66;58;25426;68;59;25296;34;23687;30;23687
5889151;5976964;235;16478;64;56;25322;66;57;25193;32;23256;28;23256
5889152;5976964;236;16491;69;59;25551;70;60;24946;31;22988;27;22988
5889153;5976964;236;16554;72;59;24779;67;55;24776;33;22823;29;22823
5889154;5976964;239;16738;74;59;24774;67;55;24771;30;22402;26;22402
5889155;5976964;245;17178;77;63;25057;72;62;25057;33;23701;29;23133
5889156;5976964;244;17064;76;63;24517;72;62;24517;34;24417;29;23381
5889157;5976964;246;17202;78;66;24755;73;62;24752;36;24782;31;23747
5889158;5976964;250;17512;96;87;25425;95;86;25422;35;24194;30;24194
5889159;5976964;252;17627;97;89;25540;95;89;25617;39;24636;34;24636
5889160;5976964;257;17967;96;92;31174;98;90;29625;37;25152;32;25152
5889161;5976964;254;17804;95;89;31010;97;87;29461;39;26036;34;26036
5889162;5976964;255;17881;86;82;30397;91;78;28845;41;27976;35;27976
5889163;5976964;256;17903;84;78;30209;88;76;28660;41;27959;35;27959
5889164;5976964;261;18278;84;77;30331;85;77;29033;42;28084;36;28084
5889165;5976964;263;18381;85;78;28984;89;77;29060;42;28518;36;28518
5889166;5976964;265;18547;83;79;28778;90;81;28774;44;28851;38;28851
5889167;5976964;269;18850;82;75;28527;85;77;28524;43;30158;37;30158
5889168;5976964;274;19148;83;78;28744;90;80;28740;47;30541;41;30541
5889169;5976964;276;19319;90;84;26178;99;84;23615;45;29807;39;29807
5889170;5976964;277;19425;87;81;25908;94;80;23348;44;29759;38;29759
5889171;5976964;281;19655;87;79;25756;89;78;23196;45;29939;39;29939
5889172;5976964;285;19931;82;74;25440;85;74;22880;39;24642;34;24642
5889173;5976964;297;20794;77;67;25678;82;72;25678;41;25651;35;25651
5889174;5976964;290;20278;73;63;25391;74;64;22238;39;25387;34;25387
5889175;5976964;294;20545;75;67;25682;75;61;21972;39;25698;33;26267
5889176;5976964;295;20673;75;65;25053;76;58;23093;35;24830;30;24830
5889177;5976964;299;20965;75;67;25215;76;59;23107;35;24948;30;24948
5889178;5976964;301;21071;75;68;25024;76;60;23225;33;24690;29;24690
5889179;5976964;305;21346;74;63;23937;75;56;22928;35;25268;31;25268
5889180;5976964;308;21577;77;68;26348;77;61;23262;40;25598;35;25598
5889181;5976964;312;21845;75;66;26216;76;65;26219;43;25816;39;27246
5889182;5976964;314;21972;74;64;26300;76;63;26304;41;26562;35;27286
5889183;5976964;318;22261;75;67;26690;79;66;26694;44;29481;38;29481
5889184;5976964;319;22320;78;67;27164;74;66;27168;42;29110;36;29110
5889185;5976964;321;22448;78;69;27492;74;68;27495;42;28624;36;28624
5889186;5976964;326;22834;78;65;26879;75;66;26879;40;28580;35;28580
5889187;5976964;329;23000;73;66;26424;71;63;26421;40;28798;34;28838
5889188;5976964;333;23294;73;67;26262;70;64;26259;40;29390;34;29390
5889189;5976964;336;23543;69;64;26083;69;64;26014;40;29165;35;29165
5889190;5976964;339;23727;67;60;25696;67;62;25683;40;29198;35;29394
5889191;5976964;341;23881;66;61;25637;66;61;25739;40;29261;34;29261
5889192;5976964;342;23927;66;63;25771;67;65;25768;43;30228;38;30222
5889193;5976964;345;24175;72;67;26016;73;66;26121;43;30321;37;30376
5889194;5976964;349;24445;77;71;26285;77;71;26488;46;30478;40;30477
5889195;5976964;352;24639;77;72;28004;77;74;28000;48;31436;42;31436
5889196;5976964;354;24784;82;71;27959;80;73;27955;40;30375;34;30382
5889197;5976964;359;25122;77;62;27453;80;66;27450;41;30671;35;30678
5889198;5976964;362;25362;77;62;27452;81;66;27449;43;32112;37;32112
5889199;5976964;368;25774;77;59;27257;79;63;27254;42;31881;36;31881
5889200;5976964;369;25837;70;57;26690;78;59;26687;41;31512;35;31512
5889201;5976964;371;25984;69;58;26742;77;60;26739;41;31519;36;31519
5889202;5976964;378;26453;74;65;27509;78;66;27506;44;31836;39;31836
5889203;5976964;381;26692;78;69;27748;79;70;27745;44;32627;38;32627
5889204;5976964;387;27074;73;68;31748;74;63;27917;44;32640;38;32640
5889205;5976964;388;27142;72;65;27864;76;62;27863;43;32358;37;32358
5889206;5976964;390;27296;68;61;27609;72;58;27608;44;32641;38;32641
5889207;5976964;394;27568;67;59;27814;71;62;27886;46;33142;39;33142
5889208;5976964;398;27836;69;62;28260;74;66;28384;46;33390;40;33390
5889209;5976964;398;27842;68;63;28614;75;67;28738;47;33524;41;33524
5889210;5976964;402;28110;69;64;28673;75;68;28797;49;33957;43;33957
5889211;5976964;407;28517;80;73;29337;85;76;32659;49;34236;42;34236
5889212;5976964;422;29554;91;79;30826;95;82;30835;55;34658;48;34658
5889213;5976964;418;29287;87;77;31340;92;80;31350;50;35648;43;36081
5889214;5976964;425;29752;92;80;31526;97;83;31536;51;35821;44;36254
5889215;5976964;433;30337;97;85;31896;101;88;31906;51;36265;44;36699
5889216;5976964;438;30668;100;84;33282;102;93;32238;53;36804;46;37238
5889217;5976964;441;30864;99;79;32940;102;91;34824;51;36734;44;37167
5889218;5976964;443;31020;99;80;33022;102;92;34906;53;37116;46;37549
5889219;5976964;453;31722;116;90;33724;105;102;35608;53;37733;47;38167
5889220;5976964;453;31743;116;90;33745;105;102;35628;57;37836;50;38269
